id;x;y;sp
917;78.158226;1.539342;53
918;75.324982;77.827278;27
919;88.379219;94.755089;54
920;54.353882;79.880653;43
921;4.890609;15.914144;52
922;76.727661;79.782249;54
923;45.135910;8.220326;77
924;4.399872;47.931652;42
925;52.474426;86.664444;43
926;69.020630;45.453674;55
927;38.568760;10.289347;74
928;67.802078;40.595928;55
929;57.599007;73.066612;79
930;72.390854;42.411884;55
931;74.555893;86.196548;54
932;2.708982;70.054420;78
933;78.298309;92.225243;54
934;76.727661;79.782249;54
935;75.884987;45.863560;55
936;47.110058;78.628082;43
937;69.020630;45.453674;55
938;63.932114;36.210751;55
939;87.989052;0.506165;47
940;81.036102;82.001030;27
941;58.215508;33.245850;55
942;55.119381;89.220139;43
943;53.227116;75.174644;79
944;22.560247;23.818609;9
945;3.064919;99.596161;6
946;4.890609;15.914144;52
947;2.640479;12.678905;52
948;82.825500;88.107178;54
949;57.133980;79.134239;79
950;69.020630;45.453674;55
951;71.650612;14.023099;70
952;51.849216;31.380426;60
953;83.922920;61.795914;55
954;92.473793;50.713573;51
955;24.710136;64.669052;45
956;42.537083;73.219414;43
957;86.432587;93.739479;54
958;88.511963;94.273094;54
959;37.967094;38.624386;43
960;80.097198;87.630951;54
961;74.518120;82.549484;27
962;91.938004;40.050430;51
963;75.172134;48.734623;55
964;47.459160;76.643616;43
965;64.776817;78.289581;79
966;56.471489;80.702965;43
967;88.511963;94.273094;54
968;89.974976;41.417385;51
969;44.596535;74.493698;43
970;59.619839;32.572933;55
971;45.901051;63.334240;79
972;59.265068;33.760048;55
973;60.763523;32.132355;55
974;47.459160;76.643616;43
975;79.602867;83.588875;54
976;47.110058;78.628082;43
977;59.619839;32.572933;55
978;91.233612;47.284443;51
979;76.368469;3.439575;53
980;81.493568;88.656410;54
981;63.932114;36.210751;55
982;41.360428;74.587471;43
983;76.295273;84.773125;54
984;78.977196;55.769173;55
985;41.817532;70.600227;43
986;6.394571;12.335653;52
987;79.438835;59.925053;55
988;47.459160;76.643616;43
989;77.360283;2.943967;53
990;65.510674;37.609772;55
991;99.449173;42.985767;42
992;90.866646;35.774105;80
993;76.727661;79.782249;54
994;90.238640;45.022404;51
995;79.103836;87.528481;54
996;76.295273;84.773125;54
